"","V1","V2"
"1","Acciaiuoli","Medici"
"2","Albizzi","Ginori"
"3","Albizzi","Guadagni"
"4","Albizzi","Medici"
"5","Barbadori","Castellani"
"6","Barbadori","Medici"
"7","Bischeri","Guadagni"
"8","Bischeri","Peruzzi"
"9","Bischeri","Strozzi"
"10","Castellani","Peruzzi"
"11","Castellani","Strozzi"
"12","Guadagni","Lamberteschi"
"13","Guadagni","Tornabuoni"
"14","Medici","Ridolfi"
"15","Medici","Salviati"
"16","Medici","Tornabuoni"
"17","Pazzi","Salviati"
"18","Peruzzi","Strozzi"
"19","Ridolfi","Strozzi"
"20","Ridolfi","Tornabuoni"
